EventId,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_tau_phi,PRI_lep_pt,PRI_lep_eta,PRI_lep_phi,PRI_met,PRI_met_phi,PRI_met_sumet,PRI_jet_num,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_leading_phi,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_subleading_phi,PRI_jet_all_pt,Weight,Label
100000,138.47,51.655,97.827,27.98,0.91,124.711,2.6660000000000004,3.064,41.928,197.76,1.582,1.396,0.2,32.638000000000005,1.017,0.381,51.62600000000001,2.273,-2.414,16.824,-0.277,258.733,2,67.435,2.15,0.444,46.062,1.24,-2.475,113.497,0.00265331133733,s
100001,160.937,68.768,103.235,48.146,-999.0,-999.0,-999.0,3.4730000000000003,2.0780000000000003,125.157,0.879,1.414,-999.0,42.014,2.039,-3.011,36.918,0.501,0.103,44.70399999999999,-1.916,164.546,1,46.226000000000006,0.725,1.158,-999.0,-999.0,-999.0,46.226000000000006,2.23358448717,b
100002,-999.0,162.172,125.953,35.635,-999.0,-999.0,-999.0,3.148,9.336,197.814,3.776,1.414,-999.0,32.154,-0.705,-2.093,121.409,-0.953,1.052,54.283,-2.186,260.414,1,44.25100000000001,2.053,-2.028,-999.0,-999.0,-999.0,44.25100000000001,2.3473889436400004,b
100003,143.905,81.417,80.943,0.414,-999.0,-999.0,-999.0,3.31,0.414,75.968,2.354,-1.285,-999.0,22.647,-1.655,0.01,53.32100000000001,-0.522,-3.1,31.082,0.06,86.06200000000003,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,5.446378211919999,b
100004,175.864,16.915,134.805,16.405,-999.0,-999.0,-999.0,3.891,16.405,57.983,1.056,-1.385,-999.0,28.209,-2.197,-2.231,29.774,0.7979999999999999,1.569,2.7230000000000003,-0.871,53.131,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,6.24533268686,b
100005,89.744,13.55,59.149,116.344,2.636,284.584,-0.54,1.362,61.619,278.876,0.588,0.479,0.975,53.651,0.371,1.329,31.565,-0.884,1.857,40.735,2.237,282.849,3,90.547,-2.412,-0.653,56.165,0.224,3.1060000000000003,193.66,0.0834140312717,b
100006,148.754,28.862,107.782,106.13,0.733,158.359,0.113,2.9410000000000003,2.545,305.967,3.3710000000000004,1.393,0.7909999999999999,28.85,1.113,2.4090000000000003,97.24,0.675,-0.966,38.421,-1.443,294.074,2,123.01,0.8640000000000001,1.45,56.867,0.131,-2.767,179.877,0.00265331133733,s
100007,154.916,10.418,94.714,29.169,-999.0,-999.0,-999.0,2.897,1.526,138.178,0.365,-1.305,-999.0,78.8,0.654,1.547,28.74,0.506,-1.347,22.275,-1.761,187.299,1,30.638,-0.715,-1.724,-999.0,-999.0,-999.0,30.638,0.018636116672,s
100008,105.594,50.559,100.989,4.288,-999.0,-999.0,-999.0,2.904,4.288,65.333,0.675,-1.366,-999.0,39.008,2.4330000000000003,-2.532,26.325,0.21,1.884,37.791,0.024,129.804,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,5.29600298518,b
100009,128.053,88.941,69.27199999999999,193.392,-999.0,-999.0,-999.0,1.609,28.859,255.123,0.599,0.5379999999999999,-999.0,54.646,-1.533,0.416,32.742,-0.317,-0.636,132.678,0.845,294.741,1,167.735,-2.767,-2.514,-999.0,-999.0,-999.0,167.735,0.00150187015894,s
100010,-999.0,86.24,79.692,27.201,-999.0,-999.0,-999.0,2.338,27.201,81.734,1.75,-1.412,-999.0,29.718000000000004,-0.866,2.878,52.01600000000001,0.126,-1.288,51.276,0.688,250.178,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,2.29950373735,b
100011,114.744,10.286,75.712,30.816,2.563,252.599,-1.401,2.888,36.745,239.804,1.061,1.364,0.769,35.976,-0.669,-0.342,38.188,-0.165,2.502,22.385,2.148,290.547,3,76.773,-0.79,0.303,56.87600000000001,1.773,-2.079,165.64,0.307169523947,b
100012,145.297,64.234,103.565,106.999,-999.0,-999.0,-999.0,2.1830000000000003,24.66,192.245,0.5760000000000001,0.6890000000000001,-999.0,62.89,-0.7659999999999999,-1.632,36.237,0.722,-0.035,43.91,-1.907,232.362,1,93.117,-0.97,1.943,-999.0,-999.0,-999.0,93.117,1.68161144262,b
100013,82.488,31.663,64.128,8.232000000000001,-999.0,-999.0,-999.0,2.823,8.232000000000001,58.649,1.3030000000000002,-1.414,-999.0,25.47,-0.654,-2.99,33.179,-1.665,-0.354,12.439,1.433,163.42,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,2.1838915401700003,b
