Dataset,Status,Model,#Problem,Accuracy,,,,Train Time,,,Average Memory,,
,,,,Original(%),AT(%),Improve(%),Ratio,Original(s),AT(s),Ratio,Original(MB),AT(MB),Ratio
Blob,Repaired,1,2,30.67,75.67,45.00,1.47,33.70,234.39,6.96,1541.92,1540.98,1.00
,,2,1,40.33,84.00,43.67,1.08,14.74,28.86,1.96,1554.17,1558.01,1.00
,,3,1,40.33,83.67,43.33,1.07,17.99,24.03,1.34,1550.91,1554.17,1.00
,,4,1,33.33,65.67,32.33,0.97,36.07,92.99,2.58,1552.70,1551.70,1.00
,,5,1,85.33,84.67,-0.67,-0.01,31.06,65.06,2.09,1554.12,1552.32,1.00
,,6,1,20.33,84.00,63.67,3.13,7.56,20.65,2.73,1556.71,1556.71,1.00
,,7,1,39.00,67.33,28.33,0.73,4.53,16.18,3.57,1561.95,1563.70,1.00
,,8,2,33.67,84.67,51.00,1.51,7.51,116.74,15.54,1561.20,1561.20,1.00
,,9,1,39.00,80.67,41.67,1.07,5.13,15.62,3.04,1561.20,1561.20,1.00
,,10,1,51.33,82.67,31.33,0.61,7.91,35.12,4.44,1560.70,1562.20,1.00
,,11,1,39.00,78.67,39.67,1.02,5.33,16.81,3.15,1559.95,1560.45,1.00
,,12,1,35.67,84.67,49.00,1.37,10.43,23.27,2.23,1565.45,1565.45,1.00
,,13,1,35.67,76.33,40.67,1.14,7.68,20.83,2.71,1561.21,1561.46,1.00
,,14,1,46.67,86.00,39.33,0.84,33.05,45.95,1.39,1565.00,1565.21,1.00
,,15,1,35.67,83.67,48.00,1.35,6.46,25.82,4.00,1566.95,1570.45,1.00
,,16,1,35.67,84.00,48.33,1.36,17.66,61.35,3.47,1567.50,1565.45,1.00
,,17,1,85.00,84.67,-0.33,0.00,22.26,43.99,1.98,1564.45,1564.45,1.00
,,18,2,35.67,86.33,50.67,1.42,4.88,55.08,11.29,1563.95,1564.45,1.00
,,19,1,35.67,81.33,45.67,1.28,16.96,34.56,2.04,1564.70,1566.21,1.00
,,20,3,30.67,85.00,54.33,1.77,15.86,586.63,36.98,1564.95,1565.12,1.00
,,21,1,20.33,86.00,65.67,3.23,18.53,44.35,2.39,1580.68,1571.75,0.99
,,22,1,53.00,84.67,31.67,0.60,21.00,33.04,1.57,1575.69,1582.19,1.00
,,23,1,53.00,72.33,19.33,0.36,5.88,13.38,2.28,1574.19,1574.19,1.00
,,24,1,40.33,84.67,44.33,1.10,5.82,15.03,2.58,1573.69,1573.69,1.00
,,25,1,39.00,84.67,45.67,1.17,9.37,18.70,1.99,1574.14,1573.92,1.00
,,26,1,30.67,83.67,53.00,1.73,15.19,34.27,2.26,1576.39,1577.93,1.00
,,27,1,39.33,80.33,41.00,1.04,4.94,15.44,3.12,1572.70,1572.70,1.00
,,28,1,40.67,84.67,44.00,1.08,11.65,20.07,1.72,1572.95,1572.95,1.00
,,29,1,35.67,78.00,42.33,1.19,8.15,38.19,4.69,1574.95,1575.22,1.00
,,30,1,40.00,84.67,44.67,1.12,17.28,31.87,1.84,1575.34,1574.95,1.00
,,31,1,35.67,78.67,43.00,1.21,5.70,30.02,5.27,1573.95,1573.95,1.00
,,32,1,35.67,83.00,47.33,1.33,8.23,40.99,4.98,1573.70,1573.95,1.00
,,33,1,39.00,83.67,44.67,1.15,17.21,30.56,1.78,1576.20,1576.20,1.00
,,34,1,52.00,84.67,32.67,0.63,39.23,56.30,1.44,1573.45,1574.70,1.00
,,35,1,35.67,78.00,42.33,1.19,6.78,21.58,3.18,1578.95,1579.06,1.00
,,36,1,50.33,83.67,33.33,0.66,12.99,30.99,2.39,1282.06,1258.63,0.98
,,37,1,50.33,60.00,9.67,0.19,11.26,25.46,2.26,1303.80,1291.99,0.99
,,38,1,49.67,79.33,29.67,0.60,11.35,25.73,2.27,1316.07,1308.97,0.99
,,39,1,49.67,82.33,32.67,0.66,9.17,24.34,2.65,1315.99,1316.16,1.00
,,40,1,49.67,86.00,36.33,0.73,9.96,19.24,1.93,1318.30,1318.30,1.00
,,41,1,49.67,86.00,36.33,0.73,11.25,23.16,2.06,1315.30,1314.55,1.00
,,42,1,49.67,82.00,32.33,0.65,13.35,23.58,1.77,1315.86,1316.80,1.00
,,43,1,49.67,64.00,14.33,0.29,10.94,19.91,1.82,1316.39,1316.14,1.00
,,44,1,50.33,82.33,32.00,0.64,9.24,20.61,2.23,1322.56,1322.56,1.00
,,45,1,49.67,83.33,33.67,0.68,14.03,36.13,2.58,1318.41,1318.86,1.00
,,46,2,75.00,83.67,8.67,0.12,13.34,125.11,9.38,1320.49,1319.74,1.00
,Failed,47,1,33.67,33.67,0.00,0.00,16.03,109.56,6.84,1576.94,1574.19,1.00
,,48,1,33.67,33.67,0.00,0.00,6.89,86.64,12.57,1574.70,1573.95,1.00
,Normal,49,-,67.67,-,-,-,15.61,17.74,1.14,1505.91,1486.04,0.99
,,50,-,70.67,-,-,-,15.71,16.94,1.08,1514.26,1509.71,1.00
,,51,-,74.67,-,-,-,25.05,24.15,0.96,1541.50,1533.46,0.99
,,52,-,74.67,-,-,-,14.63,15.68,1.07,1543.54,1543.54,1.00
,,53,-,84.00,-,-,-,15.43,16.75,1.09,1545.98,1543.23,1.00
,,54,-,72.67,-,-,-,18.44,21.52,1.17,1558.13,1550.99,1.00
,,55,-,72.67,-,-,-,24.93,25.97,1.04,1556.95,1556.95,1.00
,,56,-,81.33,-,-,-,26.44,29.91,1.13,1559.68,1553.82,1.00
,,57,-,83.00,-,-,-,9.35,9.65,1.03,1556.70,1563.41,1.00
,,58,-,81.67,-,-,-,13.75,14.77,1.07,1567.45,1561.71,1.00
,,59,-,80.00,-,-,-,29.86,32.19,1.08,1561.42,1561.70,1.00
,,60,-,73.33,-,-,-,17.94,19.13,1.07,1561.21,1561.20,1.00
,,61,-,81.00,-,-,-,11.68,11.94,1.02,1561.80,1561.21,1.00
,,62,-,73.67,-,-,-,12.91,13.39,1.04,1560.45,1560.70,1.00
,,63,-,71.67,-,-,-,9.24,9.76,1.06,1560.00,1559.95,1.00
,,64,-,73.67,-,-,-,13.94,15.15,1.09,1561.42,1561.21,1.00
,,65,-,73.67,-,-,-,16.89,17.99,1.07,1562.84,1561.21,1.00
,,66,-,72.00,-,-,-,27.44,29.56,1.08,1564.71,1566.46,1.00
,,67,-,81.00,-,-,-,12.19,13.70,1.12,1565.70,1565.70,1.00
,,68,-,81.67,-,-,-,17.94,20.87,1.16,1565.97,1564.45,1.00
,,69,-,71.00,-,-,-,10.20,10.75,1.05,1566.16,1566.70,1.00
,,70,-,70.67,-,-,-,18.26,19.90,1.09,1566.20,1566.20,1.00
,,71,-,82.00,-,-,-,16.15,17.51,1.08,1563.45,1563.95,1.00
,,72,-,80.33,-,-,-,14.50,15.98,1.10,1563.45,1563.45,1.00
,,73,-,69.67,-,-,-,10.26,11.17,1.09,1565.20,1565.20,1.00
,,74,-,84.00,-,-,-,9.59,10.97,1.14,1564.70,1564.70,1.00
