Dataset,Status,Model,#Problem,Accuracy,,,,Train Time,,,Average Memory,,
,,,,Original(%),AT(%),Improve(%),Ratio,Original(s),AT(s),Ratio,Original(MB),AT(MB),Ratio
Blob,Repaired,1,1,49.67,81.67,32.00,1.64 ,9.17,24.34,2.65,1315.99,1316.16,1.00
,,2,1,35.67,82.33,46.67,2.31 ,8.15,38.19,4.69,1574.95,1575.22,1.00
,,3,2,65.00,78.67,13.67,1.21 ,10.50,25.77,2.45,1245.90,1245.93,1.00
,,4,2,82.33,83.00,0.67,1.01,11.16,25.05,2.24,1279.60,1278.32,1.00
,,5,1,35.67,74.00,38.33,2.07,6.78,21.58,3.18,1578.95,1579.06,1.00
,,6,1,39.00,83.33,44.33,2.14,4.53,16.18,3.57,1561.95,1563.70,1.00
,,7,1,53.00,81.00,28.00,1.53,21.00,33.04,1.57,1575.69,1582.19,1.00
,,8,1,82.00,84.00,2.00,1.02,12.24,19.58,1.60,1269.64,1269.65,1.00
,,9,1,33.33,35.67,2.33,1.07,36.07,92.99,2.58,1552.70,1551.70,1.00
,,10,1,82.00,80.67,-1.33,0.98,10.17,18.56,1.82,1191.82,1200.82,1.01
,,11,1,35.67,83.00,47.33,2.33,6.46,25.82,4.00,1566.95,1570.45,1.00
,,12,1,63.00,81.00,18.00,1.29,6.02,12.29,2.04,1269.59,1269.61,1.00
,,13,1,85.00,81.67,-3.33,0.96,22.26,43.99,1.98,1564.45,1564.45,1.00
,,14,1,63.33,80.67,17.33,1.27,16.06,30.08,1.87,1252.07,1261.15,1.01
,,15,2,63.67,79.67,16.00,1.25,16.61,41.07,2.47,1179.93,1190.89,1.01
,,16,1,85.33,82.67,-2.67,0.97,31.06,65.06,2.09,1554.12,1552.32,1.00
,,17,1,65.00,83.67,18.67,1.29,11.82,23.55,1.99,1269.05,1268.99,1.00
,,18,2,54.00,83.00,29.00,1.54,31.00,71.21,2.30,1252.12,1252.15,1.00
,,19,1,39.33,79.67,40.33,2.03,4.94,15.44,3.12,1572.70,1572.70,1.00
,,20,1,40.33,82.33,42.00,2.04,14.74,28.86,1.96,1554.17,1558.01,1.00
,,21,1,39.00,80.00,41.00,2.05,5.13,15.62,3.04,1561.20,1561.20,1.00
,,22,2,64.67,81.33,16.67,1.26,15.31,41.09,2.68,1244.95,1245.29,1.00
,,23,2,78.67,84.67,6.00,1.08,7.54,17.49,2.32,1279.53,1279.55,1.00
,,24,1,54.33,82.00,27.67,1.51,22.50,40.65,1.81,1269.67,1268.62,1.00
,,25,2,78.33,84.67,6.33,1.08,7.71,18.27,2.37,1248.31,1248.41,1.00
,,26,1,53.00,71.67,18.67,1.35,5.88,13.38,2.28,1574.19,1574.19,1.00
,,27,1,66.33,81.33,15.00,1.23,12.02,21.17,1.76,1187.14,1193.74,1.01
,,28,2,65.33,81.33,16.00,1.24,19.81,53.69,2.71,1248.38,1248.89,1.00
,,29,1,65.00,81.33,16.33,1.25,12.05,20.98,1.74,1268.85,1268.88,1.00
,,30,1,32.00,79.67,47.67,2.49,12.46,22.53,1.81,1278.39,1278.40,1.00
,,31,1,69.00,82.33,13.33,1.19,39.66,68.62,1.73,1269.09,1269.11,1.00
,,32,1,50.33,59.33,9.00,1.18,11.26,25.46,2.26,1303.80,1291.99,0.99
,,33,1,50.33,80.33,30.00,1.60,9.24,20.61,2.23,1322.56,1322.56,1.00
,,34,2,75.00,69.00,-6.00,0.92,13.34,125.11,9.38,1320.49,1319.74,1.00
,,35,1,35.67,82.67,47.00,2.32,10.43,23.27,2.23,1565.45,1565.45,1.00
,,36,2,32.67,85.67,53.00,2.62,6.67,17.76,2.66,1250.56,1250.61,1.00
